industry_group,skill,selection_method,coefficient,std_err,p_value,ci_lower,ci_upper,n_samples
人力资源,站务员,Mutual Information,253.79380370641084,3230.8753615656274,0.9373884552967344,-6078.721904962219,6586.30951237504,154
人力资源,安检员,Mutual Information,-447.8015179061728,2247.174766850812,0.842049107779268,-4852.264060933764,3956.6610251214183,154
人力资源,安全管理,Mutual Information,-159.35481938286546,2929.3118815077646,0.9566164100384597,-5900.806107138084,5582.096468372353,154
人力资源,针对性探测技能包,Mutual Information,-150.71104551604125,3404.99580406494,0.964695767295455,-6824.502821483323,6523.080730451241,154
人力资源,组装技能包,Mutual Information,811.8646713496053,1746.9011534667898,0.6421136298438015,-2612.061589445303,4235.790932144513,154
人力资源,乘辅警,Mutual Information,-204.00280138960116,3447.6407407860374,0.9528153415378542,-6961.378653330234,6553.373050551032,154
人力资源,安全检查,Mutual Information,-141.20868415088484,2003.7675542605323,0.9438183127635139,-4068.593090501528,3786.175722199758,154
人力资源,安全巡查,Mutual Information,-581.6097374468217,2366.6773799688367,0.8058761662988404,-5220.297402185742,4057.077927292098,154
人力资源,监控系统技能包,Mutual Information,-307.6373875446305,4538.04684960146,0.9459522444300392,-9202.209212763491,8586.934437674232,154
人力资源,乘务员,Mutual Information,389.097647923839,2901.368057098798,0.893316906473574,-5297.583743989805,6075.779039837483,154
人力资源,afc,Mutual Information,-655.9914411030144,3725.992094264166,0.8602482237377986,-7958.93594586078,6646.9530636547515,154
人力资源,退伍军人优先技能包,Mutual Information,-1515.2056772722385,3656.9354942256873,0.678626920728433,-8682.799245954586,5652.387891410108,154
人力资源,设备检修技能包,Mutual Information,-656.0399246592982,3726.0967895088916,0.860241887737333,-7959.189632096725,6647.10978277813,154
商业与贸易,效期管理技能包,Mutual Information,69.75478986938468,2962.482821596682,0.9812147003501452,-5736.711540460112,5876.221120198881,80
商业与贸易,新能源,Mutual Information,1746.7727106038692,3474.2141198707623,0.615117471952944,-5062.6869643428245,8556.232385550564,80
商业与贸易,出库,Mutual Information,187.1703373935872,3273.675216558215,0.9544062898346174,-6229.233087060515,6603.573761847689,80
商业与贸易,商品管理,Mutual Information,-3045.1192914064372,3320.9158277408255,0.35916796989896616,-9554.114313778455,3463.8757309655807,80
商业与贸易,拍照上传,Mutual Information,-3753.2272893961313,3474.2141198707627,0.28000428194877447,-10562.686964342825,3056.2323855505633,80
机械工程,变频器,Mutual Information,13311.963554332198,3014.387404784767,1.004779789502824e-05,7403.764240954055,19220.162867710344,260
机械工程,进度跟踪,Mutual Information,1541.1666682430769,3155.470778885536,0.625258745273251,-4643.556058372574,7725.889394858727,260
机械工程,轨道交通技能包,Mutual Information,3643.315393767696,3014.0895261981154,0.22675448447883506,-2264.3000775806104,9550.930865116003,260
机械工程,办公软件,Mutual Information,-3232.93872778777,1235.940951212333,0.008902619448355513,-5655.382992163943,-810.4944634115973,260
机械工程,国际贸易,Mutual Information,-1754.6950370165828,3134.5232477156023,0.5756182743599809,-7898.360602539164,4388.970528505997,260
机械工程,英语,Mutual Information,-359.7118041142276,1722.724623157327,0.8346012432243356,-3736.2520655025883,3016.828457274133,260
